id,user_id,timestamp,activity_type,category,title,price,saved_amount,response_time_sec
1,1,2024-01-12T10:00:00Z,item_posted,Электроника,iPhone 13 Pro 128GB,55000,0,0
2,1,2024-01-14T11:20:00Z,chat_received,Электроника,iPhone 13 Pro 128GB,0,0,120
3,1,2024-01-14T12:00:00Z,item_sold,Электроника,iPhone 13 Pro 128GB,55000,0,0
4,1,2024-01-15T09:00:00Z,review_left,Электроника,iPhone 13 Pro 128GB,0,0,0
5,1,2024-02-01T14:00:00Z,item_posted,Электроника,PlayStation 5 Disc Edition,42000,0,0
6,1,2024-02-02T16:45:00Z,promotion_bought,Электроника,PlayStation 5 Disc Edition,1490,0,0
7,1,2024-02-03T10:15:00Z,item_sold,Электроника,PlayStation 5 Disc Edition,42000,0,0
8,1,2024-03-10T12:30:00Z,item_posted,Бытовая техника,Кофемашина DeLonghi,28000,0,0
9,1,2024-03-12T15:00:00Z,item_sold,Бытовая техника,Кофемашина DeLonghi,27500,0,0
10,1,2024-04-05T18:20:00Z,item_posted,Электроника,MacBook Air M1,65000,0,0
11,1,2024-04-07T11:00:00Z,promotion_bought,Электроника,MacBook Air M1,1990,0,0
12,1,2024-04-08T19:30:00Z,item_sold,Электроника,MacBook Air M1,65000,0,0
13,1,2024-05-18T13:00:00Z,item_posted,Одежда,Куртка кожаная Зара,4500,0,0
14,1,2024-05-20T17:10:00Z,item_sold,Одежда,Куртка кожаная Зара,4000,0,0
15,1,2024-06-01T10:00:00Z,item_posted,Электроника,Монитор LG 27 UHD,22000,0,0
16,1,2024-06-03T14:20:00Z,item_sold,Электроника,Монитор LG 27 UHD,21000,0,0
17,1,2024-07-15T09:30:00Z,item_posted,Бытовая техника,Робот-пылесос Roborock,18000,0,0
18,1,2024-07-16T12:00:00Z,item_sold,Бытовая техника,Робот-пылесос Roborock,17500,0,0
19,1,2024-08-20T16:00:00Z,item_posted,Электроника,iPad Air 4 64GB,38000,0,0
20,1,2024-08-22T18:00:00Z,item_sold,Электроника,iPad Air 4 64GB,37000,0,0
21,1,2024-09-10T11:00:00Z,item_posted,Хобби и отдых,Электрогитара Fender,45000,0,0
22,1,2024-09-15T15:30:00Z,item_sold,Хобби и отдых,Электрогитара Fender,43000,0,0
23,1,2024-10-05T14:00:00Z,item_posted,Электроника,Наушники AirPods Max,39000,0,0
24,1,2024-10-06T19:00:00Z,promotion_bought,Электроника,Наушники AirPods Max,1290,0,0
25,1,2024-10-07T10:00:00Z,item_sold,Электроника,Наушники AirPods Max,39000,0,0
26,2,2024-01-10T14:00:00Z,save_favorite,Одежда,Пальто Woolrich,12000,3000,0
27,2,2024-01-11T16:00:00Z,chat_sent,Одежда,Пальто Woolrich,0,0,45
28,2,2024-01-12T12:00:00Z,item_bought,Одежда,Пальто Woolrich,9000,3000,0
29,2,2024-02-14T18:00:00Z,save_favorite,Обувь,Кроссовки Nike Air Jordan,8500,2000,0
30,2,2024-02-15T19:30:00Z,item_bought,Обувь,Кроссовки Nike Air Jordan,6500,2000,0
31,2,2024-03-08T10:00:00Z,save_favorite,Личные вещи,Сумка Michael Kors,11000,4000,0
32,2,2024-03-09T14:15:00Z,item_bought,Личные вещи,Сумка Michael Kors,7000,4000,0
33,2,2024-04-20T11:00:00Z,search,Одежда,Платье вечернее Silk,0,0,0
34,2,2024-04-21T15:00:00Z,save_favorite,Одежда,Платье вечернее Silk,7500,2500,0
35,2,2024-04-22T12:00:00Z,item_bought,Одежда,Платье вечернее Silk,5000,2500,0
36,2,2024-05-15T17:00:00Z,save_favorite,Бытовая техника,Фен Dyson Supersonic,29000,8000,0
37,2,2024-05-16T18:30:00Z,item_bought,Бытовая техника,Фен Dyson Supersonic,21000,8000,0
38,2,2024-06-10T13:00:00Z,save_favorite,Красота и здоровье,Набор кистей Bobbi Brown,4500,1500,0
39,2,2024-06-11T14:00:00Z,item_bought,Красота и здоровье,Набор кистей Bobbi Brown,3000,1500,0
40,2,2024-07-04T16:00:00Z,save_favorite,Аксессуары,Очки солнечные Ray-Ban,6500,2000,0
41,2,2024-07-05T17:30:00Z,item_bought,Аксессуары,Очки солнечные Ray-Ban,4500,2000,0
42,2,2024-08-12T11:00:00Z,save_favorite,Украшения,Кольцо серебро Pandora,3500,1200,0
43,2,2024-08-13T12:00:00Z,item_bought,Украшения,Кольцо серебро Pandora,2300,1200,0
44,2,2024-09-25T15:00:00Z,save_favorite,Одежда,Свитер кашемир Massimo Dutti,5500,2000,0
45,2,2024-09-26T18:00:00Z,item_bought,Одежда,Свитер кашемир Massimo Dutti,3500,2000,0
46,2,2024-11-11T10:00:00Z,save_favorite,Электроника,Часы Apple Watch Series 8,24000,6000,0
47,2,2024-11-12T14:00:00Z,item_bought,Электроника,Часы Apple Watch Series 8,18000,6000,0
48,3,2024-01-05T11:00:00Z,view_item,Транспорт,BMW 3 series 2018,1850000,0,0
49,3,2024-01-06T14:00:00Z,save_favorite,Транспорт,BMW 3 series 2018,1850000,0,0
50,3,2024-01-10T16:30:00Z,chat_sent,Транспорт,BMW 3 series 2018,0,0,30
51,3,2024-02-12T10:00:00Z,view_item,Запчасти,Комплект дисков R18 BMW M,65000,0,0
52,3,2024-02-13T11:00:00Z,save_favorite,Запчасти,Комплект дисков R18 BMW M,65000,10000,0
53,3,2024-02-14T15:00:00Z,item_bought,Запчасти,Комплект дисков R18 BMW M,55000,10000,0
54,3,2024-03-20T18:00:00Z,search,Запчасти,Шины Michelin Pilot Sport 4,0,0,0
55,3,2024-03-22T19:00:00Z,view_item,Запчасти,Шины Michelin Pilot Sport 4,48000,0,0
56,3,2024-03-23T12:00:00Z,item_bought,Запчасти,Шины Michelin Pilot Sport 4,44000,4000,0
57,3,2024-05-04T14:00:00Z,view_item,Транспорт,Audi A5 Coupe 2019,2100000,0,0
58,3,2024-06-15T16:00:00Z,view_item,Запчасти,Выхлопная система Akrapovic,120000,0,0
59,3,2024-07-22T11:00:00Z,view_item,Запчасти,Фары светодиодные BMW LED,75000,0,0
60,3,2024-08-30T15:00:00Z,view_item,Транспорт,Porsche Cayman 2017,4500000,0,0
61,4,2024-02-01T10:00:00Z,search,Для дома и дачи,Диван угловой раскладной,0,0,0
62,4,2024-02-02T12:00:00Z,save_favorite,Для дома и дачи,Диван угловой раскладной,35000,10000,0
63,4,2024-02-03T14:00:00Z,chat_sent,Для дома и дачи,Диван угловой раскладной,0,0,20
64,4,2024-02-04T16:00:00Z,item_bought,Для дома и дачи,Диван угловой раскладной,25000,10000,0
65,4,2024-03-15T11:00:00Z,view_item,Бытовая техника,Холодильник LG NoFrost,42000,0,0
66,4,2024-03-16T15:00:00Z,item_bought,Бытовая техника,Холодильник LG NoFrost,32000,10000,0
67,4,2024-04-10T10:00:00Z,search,Для дома и дачи,Люстра хрустальная модерн,0,0,0
68,4,2024-04-12T13:00:00Z,save_favorite,Для дома и дачи,Люстра хрустальная модерн,14000,4000,0
69,4,2024-04-13T17:00:00Z,item_bought,Для дома и дачи,Люстра хрустальная модерн,10000,4000,0
70,4,2024-05-05T12:00:00Z,view_item,Растения,Фикус Бенджамина большой,4500,0,0
71,4,2024-05-06T14:00:00Z,item_bought,Растения,Фикус Бенджамина большой,3000,1500,0
72,4,2024-06-20T10:00:00Z,item_posted,Для дома и дачи,Столик журнальный икеа,3500,0,0
73,4,2024-06-22T16:00:00Z,item_sold,Для дома и дачи,Столик журнальный икеа,3000,0,0
74,5,2024-11-15T14:00:00Z,search,Электроника,Наушники беспроводные,0,0,0
75,5,2024-11-16T15:00:00Z,view_item,Электроника,Наушники JBL Tune,2500,0,0
76,5,2024-11-17T18:00:00Z,save_favorite,Электроника,Наушники JBL Tune,2500,500,0
77,5,2024-11-18T19:00:00Z,item_bought,Электроника,Наушники JBL Tune,2000,500,0
78,1,2024-11-20T23:45:00Z,chat_sent,Электроника,iPhone 15 Pro,0,0,90
79,1,2024-11-21T01:10:00Z,item_sold,Электроника,iPhone 15 Pro,95000,0,0
